lat_grid,lon_grid,pickup_count,month
40.757,-74.001,273,July
40.756,-73.985,273,July
40.733,-73.987,273,July
40.747,-73.986,273,April
40.731,-74.001,273,April
40.744,-73.983,273,April
40.753,-73.978,273,April
40.745,-73.992,273,April
40.704,-74.009,273,April
40.732,-73.985,273,August
40.703,-73.994,273,August
40.76,-73.986,273,August
40.775,-73.99,273,August
40.728,-73.988,273,August
40.777,-73.952,272,August
40.737,-73.98,272,August
40.762,-73.978,272,August
40.743,-73.987,272,August
40.746,-74.008,272,August
40.75,-73.975,272,April
40.73,-74.008,272,April
40.745,-73.983,272,April
40.775,-73.954,272,July
40.777,-73.978,272,July
40.741,-73.996,272,July
40.779,-73.956,272,July
40.753,-73.97,272,July
40.722,-74.005,271,July
40.718,-74.007,271,July
40.765,-73.984,271,July
40.735,-74.006,271,July
40.75,-73.994,271,July
40.757,-73.967,271,April
40.71,-74.007,271,August
40.759,-73.982,271,August
40.759,-73.969,271,August
40.733,-73.991,271,August
40.75,-73.976,271,August
40.722,-73.983,271,August
40.742,-73.992,270,August
40.765,-73.962,270,August
40.716,-73.962,270,August
40.737,-73.987,270,August
40.755,-73.846,270,August
40.724,-73.991,270,April
40.715,-74.011,270,April
40.738,-74.006,270,April
40.728,-73.994,270,July
40.73,-73.992,270,July
40.759,-73.987,270,July
40.729,-73.992,270,July
40.758,-73.97,269,July
40.757,-73.989,269,July
40.723,-73.994,269,April
40.733,-73.99,269,April
40.728,-74.005,269,April
40.766,-73.969,269,July
40.727,-74.001,269,August
40.729,-73.999,269,August
40.736,-73.989,269,August
40.709,-74.01,269,August
40.756,-73.994,268,August
40.771,-73.982,268,August
